date;landslides
21/01/2005;Cota 200
01/02/2006;Cota 95
04/04/2010;Cota 200
04/04/2010;Mantiqueira
11/11/2010;Cota 95
31/10/2005;Grotão
31/10/2005;Cota 200
31/10/2005;Morro do Gonzaga
11/02/2006;Cota 200
11/02/2006;Cota 200
11/02/2006;Piloes
11/02/2006;Piloes
11/02/2006;Piloes
16/03/2012;Cota 200
16/03/2012;Cota 200
16/01/2002;Morro do Gonzaga
16/01/2002;Pinheiro do Miranda
08/10/2009;Cota 95
08/10/2009;Cota 95
08/10/2009;Cota 95
08/10/2009;Cota 200
08/10/2009;Cota 200
08/10/2009;Cota 200
08/10/2009;Cota 200
08/10/2009;Cota 200
14/02/2012;Cota 95
09/10/2009;Mantiqueira
15/01/2002;Cota 200
04/01/2013;Cota 95
04/01/2013;Piloes
27/01/2012;Cota 200
18/10/2008;Grotão
18/10/2008;Grotão
18/10/2008;Cota 400
21/01/2010;Cota 200
21/01/2010;Cota 200
25/10/2007;Grotão
15/10/2011;Cota 95
29/10/2003;Mantiqueira
18/03/2009;Grotão
18/03/2009;Grotão
18/03/2009;Grotão
18/03/2009;Grotão
18/03/2009;Grotão
18/03/2009;Grotão
18/03/2009;Grotão
18/03/2009;Grotão
18/03/2009;Grotão
18/03/2009;Grotão
18/03/2009;Grotão
18/03/2009;Grotão
18/03/2009;Grotão
18/03/2009;Grotão
18/03/2009;Grotão
18/03/2009;Grotão
18/03/2009;Grotão
18/03/2009;Grotão
18/03/2009;Grotão
18/03/2009;Cota 95
18/03/2009;Cota 95
18/03/2009;Cota 200
18/03/2009;Cota 200
13/02/2012;Cota 95
20/03/2009;Grotão
20/03/2009;Grotão
20/03/2009;Grotão
20/03/2009;Grotão
20/03/2009;Grotão
20/03/2009;Grotão
20/03/2009;Grotão
20/03/2009;Grotão
20/03/2009;Grotão
20/03/2009;Cota 95
20/03/2009;Cota 200
19/03/2009;Grotão
19/03/2009;Cota 95
19/03/2009;Cota 95
19/03/2009;Piloes
22/12/2014;Cota 200
19/10/2008;Cota 95
19/10/2008;Cota 200
19/10/2008;Cota 200
19/10/2008;Cota 200
19/10/2008;Cota 200
19/10/2008;Cota 200
19/10/2008;Piloes
19/10/2008;Cota 400
22/01/2009;Água Fria
07/11/2005;Grotão
09/01/2013;Vila Esperança
09/01/2013;Cota 200
09/01/2013;Cota 200
09/01/2013;Piloes
09/01/2013;Mantiqueira
09/01/2013;Vila Esperança
09/01/2013;Rodovia Anchieta (Km 52)
16/10/2013;Mantiqueira
16/10/2011;Vila Noel
12/02/2012;Cota 200
16/11/2011;Pinheiro do Miranda
24/10/2007;Cota 200
24/10/2007;Cota 200
05/04/2007;Grotão
05/04/2007;Grotão
05/04/2007;Cota 95
31/01/2006;Cota 200
09/02/2006;Cota 95
09/02/2006;Cota 95
02/12/2005;Cota 95
24/02/2010;Vila Esperança
15/02/2014;Vila Noel
16/12/2012;Vila Esperança
16/12/2012;Mantiqueira
16/12/2012;Vila Esperança
04/02/2005;Pinheiro do Miranda
13/10/2003;Grotão
28/10/2009;Grotão
28/10/2009;Cota 95
28/10/2009;Piloes
11/01/2013;Cota 200
16/12/2010;Cota 95
16/12/2010;Cota 200
24/11/2013;Cota 200
16/07/2010;Grotão
16/07/2010;Cota 200
15/12/2010;Grotão
30/11/2006;Grotão
04/01/2014;Fabril
16/02/2014;Cota 95
15/12/2012;Cota 95
15/12/2012;Cota 95
15/12/2012;Cota 95
15/12/2012;Cota 200
15/12/2012;Cota 200
11/12/2004;Cota 200
23/11/2013;Cota 200
17/11/2008;Água Fria
17/11/2008;Grotão
17/11/2008;Cota 95
17/11/2008;Cota 95
17/11/2008;Pinheiro do Miranda
17/04/2006;Cota 95
07/04/2010;Água Fria
07/04/2010;Grotão
07/04/2010;Sitio dos Queiroz
23/12/2014;Cota 200
17/03/2013;Cota 200
10/01/2013;Cota 95
10/01/2013;Cota 200
10/01/2013;Mantiqueira
03/01/2011;Grotão
03/01/2011;Cota 95
03/01/2011;Cota 95
03/01/2011;Cota 200
03/01/2011;Mantiqueira
01/11/2002;Morro do Gonzaga
04/03/2004;Cota 200
04/03/2004;Cota 200
04/03/2004;Cota 200
04/03/2004;Cota 200
04/03/2004;Cota 200
04/03/2004;Cota 200
04/03/2004;Cota 200
04/03/2004;Cota 200
04/03/2004;Cota 200
04/03/2004;Cota 200
04/03/2004;Cota 200
04/03/2004;Cota 200
04/03/2004;Cota 200
04/03/2004;Cota 200
04/03/2004;Cota 200
04/03/2004;Cota 200
04/03/2004;Cota 200
04/03/2004;Cota 400
04/03/2004;Cota 400
04/03/2004;Cota 400
04/03/2004;Cota 400
04/03/2004;Cota 400
04/03/2004;Cota 400
04/03/2004;Cota 400
04/03/2004;Cota 400
04/03/2004;Cota 400
04/03/2004;Cota 400
04/03/2004;Cota 400
05/03/2004;Morro do Gonzaga
06/03/2004;Cota 200
06/03/2004;Cota 200
17/02/2000;Grotão
17/02/2000;Morro do Marzagão
29/03/2000;Grotão
29/03/2000;Grotão
29/03/2000;Morro do Marzagão
29/03/2000;Cota 200
29/03/2000;Cota 200
29/03/2000;Cota 200
23/01/2015;Mantiqueira
18/11/2008;Grotão
18/11/2008;Grotão
25/02/2010;Cota 95
