Dia;jan-00;fev-00;mar-00;abr-00;mai-00;jun-00;jul-00;ago-00;set-00;out-00;nov-00;dez-00;jan-01;fev-01;mar-01;abr-01;mai-01;jun-01;jul-01;ago-01;set-01;out-01;nov-01;dez-01;jan-02;fev-02;mar-02;abr-02;mai-02;jun-02;jul-02;ago-02;set-02;out-02;nov-02;dez-02;jan-03;fev-03;mar-03;abr-03;mai-03;jun-03;jul-03;ago-03;set-03;out-03;nov-03;dez-03;jan-04;fev-04;mar-04;abr-04;mai-04;jun-04;jul-04;ago-04;set-04;out-04;nov-04;dez-04;jan-05;fev-05;mar-05;abr-05;mai-05;jun-05;jul-05;ago-05;set-05;out-05;nov-05;dez-05;jan-06;fev-06;mar-06;abr-06;mai-06;jun-06;jul-06;ago-06;set-06;out-06;nov-06;dez-06;jan-07;fev-07;mar-07;abr-07;mai-07;jun-07;jul-07;ago-07;set-07;out-07;nov-07;dez-07;jan-08;fev-08;mar-08;abr-08;mai-08;jun-08;jul-08;ago-08;set-08;out-08;nov-08;dez-08;jan-09;fev-09;mar-09;abr-09;mai-09;jun-09;jul-09;ago-09;set-09;out-09;nov-09;dez-09;jan-10;fev-10;mar-10;abr-10;mai-10;jun-10;jul-10;ago-10;set-10;out-10;nov-10;dez-10;jan-11;fev-11;mar-11;abr-11;mai-11;jun-11;jul-11;ago-11;set-11;out-11;nov-11;dez-11;jan-12;fev-12;mar-12;abr-12;mai-12;jun-12;jul-12;ago-12;set-12;out-12;nov-12;dez-12;jan-13;fev-13;mar-13;abr-13;mai-13;jun-13;jul-13;ago-13;set-13;out-13;nov-13;dez-13;jan-14;fev-14;mar-14;abr-14;mai-14;jun-14;jul-14;ago-14;set-14;out-14;nov-14;dez-14;jan-15;fev-15;mar-15;abr-15;mai-15;jun-15;jul-15;ago-15;set-15;out-15;nov-15;dez-15;jan-16;fev-16;mar-16;abr-16;mai-16;jun-16;jul-16;ago-16;set-16;out-16;nov-16;dez-16
13;0.3;10.3;0.0;0.0;0.0;0.0;2.5;0.1;0.3;1.8;57.1;0.0;0.7;5.4;0.0;0.0;25.0;0.0;0.0;0.0;6.0;0.0;1.9;17.5;10.4;6.3;0.0;18.3;0.0;0.1;2.2;0.0;6.4;0.0;27.9;0.0;25.4;49.6;3.2;0.0;1.9;0.0;28.5;0.0;3.5;47.6;37.4;0.0;6.5;0.0;0.0;3.8;0.0;0.1;0.0;0.0;0.0;2.0;18.0;0.0;0.0;0.0;1.5;0.0;0.0;0.0;0.0;0.0;56.0;0.0;0.0;11.3;0.0;0.3;3.6;0.0;2.1;0.0;0.0;0.0;0.0;22.3;3.4;0.0;1.1;0.0;32.3;10.1;3.2;0.0;0.3;0.3;0.0;31.8;0.2;18.4;30.6;0.0;26.5;19.0;14.1;1.9;0.0;8.4;13.0;0.0;2.4;0.1;8.4;2.8;7.3;2.4;0.0;5.8;0.0;0.0;11.8;3.7;0.2;7.5;4.0;0.0;0.0;0.0;0.2;0.0;56.8;0.0;0.0;0.0;9.3;39.0;27.7;0.0;0.1;0.0;23.6;0.0;0.0;0.0;15.0;14.9;58.6;8.2;0.0;0.8;0.1;2.0;15.1;0.0;0.0;0.0;7.1;45.0;40.0;30.0;4.0;9.8;42.4;80.0;0.0;1.8;0.0;1.6;0.0;0.0;0.0;0.4;28.5;2.2;1.2;39.1;0.0;0.0;0.0;25.6;0.0;0.8;18.4;1.4;27.0;8.4;13.6;0.0;2.8;0.0;0.0;0.0;19.2;2.8;17.8;0.0;5.8;0.0;7.8;0.0;10.2;0.0;0.0;0.0;0.0;9.8;23.8;0.0
14;25.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.6;3.0;14.2;7.0;0.0;0.0;0.0;0.0;2.9;0.0;0.0;0.0;20.4;0.0;1.2;19.8;42.2;15.0;0.0;0.8;0.0;251.0;0.0;16.4;13.6;0.0;0.3;0.0;15.4;1.3;15.9;0.0;0.4;4.5;0.0;0.0;6.1;0.0;6.6;6.6;2.3;17.0;21.3;2.8;2.5;0.0;0.0;0.0;4.9;17.8;0.0;0.0;0.0;2.8;29.5;0.0;0.0;0.0;0.0;0.3;9.8;32.0;0.0;24.0;0.0;0.0;5.0;0.0;8.5;0.0;0.0;0.0;0.0;5.2;1.6;6.0;0.0;0.0;36.6;0.0;6.3;0.0;0.0;0.0;0.0;25.3;14.2;3.7;13.4;0.0;2.6;63.1;1.0;0.1;0.0;3.8;5.0;0.0;0.2;10.0;9.4;31.0;11.3;9.6;9.4;0.1;9.0;0.0;24.6;0.0;0.0;0.6;43.8;8.8;12.2;0.0;0.2;0.0;48.2;0.0;0.0;0.2;6.6;80.9;11.8;35.4;16.7;0.0;0.0;6.7;0.6;20.0;45.6;28.7;22.1;29.8;0.4;0.0;0.0;0.0;49.7;0.6;0.0;1.2;0.1;1.2;0.0;38.6;17.6;14.2;10.0;0.6;0.0;0.0;0.0;3.8;0.0;6.8;0.0;0.1;16.1;69.2;0.0;22.0;0.0;0.4;0.0;0.2;0.0;0.4;14.6;44.6;9.4;4.0;44.2;0.0;4.6;2.8;0.0;0.0;1.0;0.2;23.2;21.6;107.0;0.0;5.2;0.0;0.0;0.0;0.0;0.0;0.0;20.6;15.6;30.0
15;31.4;0.7;0.0;0.0;0.0;0.0;17.5;12.8;14.9;5.3;2.6;52.0;9.6;1.4;0.1;0.0;4.3;0.0;0.0;0.0;3.0;0.0;3.8;20.1;79.6;21.3;0.0;0.0;0.0;24.9;0.0;6.7;5.3;0.0;3.2;4.6;13.1;0.3;0.4;0.0;0.0;0.7;0.0;0.1;0.4;0.0;0.1;6.1;18.2;12.0;0.6;9.3;5.4;0.0;0.0;0.0;0.0;18.0;36.0;0.0;0.0;1.0;19.6;0.0;0.0;0.0;0.0;1.8;0.2;23.7;0.0;0.0;0.0;0.5;8.5;0.0;7.0;0.0;0.0;0.0;0.0;15.9;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;42.2;0.0;0.0;6.4;67.0;5.9;1.2;0.0;2.6;27.0;0.0;10.6;0.0;0.0;19.5;2.9;0.0;8.1;0.0;9.4;0.2;16.6;12.2;0.0;0.0;0.0;8.8;14.0;10.6;0.0;2.6;6.3;0.0;0.0;0.0;0.0;90.4;2.6;13.9;34.2;13.8;77.7;8.2;10.0;100.8;1.8;22.0;0.0;0.0;0.0;3.0;75.6;113.2;2.2;19.1;0.0;101.0;21.8;18.9;0.0;14.3;0.0;0.0;0.0;0.0;130.0;4.3;3.0;0.0;0.0;0.0;0.1;5.1;14.4;0.0;30.0;0.0;0.0;9.8;59.8;0.0;13.6;0.0;1.2;0.0;0.0;0.4;0.0;5.4;0.0;0.0;4.8;1.4;5.8;0.0;8.6;0.0;0.0;0.0;0.0;18.0;41.6;6.6;27.8;0.2;0.0;3.0;0.0;0.0;2.4;0.0;3.2;27.2;3.8
16;0.5;208.8;1.0;0.0;0.0;0.0;1.0;3.4;10.9;0.2;0.0;105.4;0.0;40.6;0.0;0.0;15.8;0.0;0.0;0.0;0.3;0.0;16.4;3.1;3.0;7.9;0.3;0.0;0.1;0.4;0.0;4.5;0.0;0.0;4.8;0.0;1.7;0.6;37.2;0.0;0.0;0.0;0.0;4.3;11.0;0.0;3.8;20.3;26.8;0.4;8.2;0.0;0.0;0.0;18.0;0.0;0.0;0.2;40.9;0.7;20.4;0.1;0.2;45.0;0.0;0.0;0.0;0.1;21.0;1.7;0.0;0.0;0.0;0.0;0.4;120.4;0.0;32.4;0.0;0.0;13.2;49.7;0.0;0.0;0.0;0.0;56.1;0.0;0.0;24.5;36.0;0.0;0.6;1.3;0.0;0.4;1.3;0.2;15.9;2.6;0.0;0.0;0.0;0.0;19.4;0.9;143.0;6.7;5.5;0.0;0.2;2.3;0.0;0.0;0.0;0.0;2.2;31.3;35.0;1.8;9.6;13.4;6.8;0.0;0.0;0.0;47.3;0.6;8.1;0.0;11.7;28.8;0.0;11.0;9.5;0.0;32.1;0.0;0.0;0.0;0.2;51.8;23.5;0.0;27.8;0.0;19.0;0.6;29.6;0.0;78.7;0.0;0.0;7.0;6.8;0.0;36.1;7.0;38.5;0.6;53.0;10.3;0.2;1.2;5.7;113.6;44.8;0.0;28.4;27.4;0.0;4.9;21.1;0.1;0.0;5.2;1.8;0.2;0.0;0.0;0.0;13.2;9.2;0.6;0.0;0.0;2.0;0.0;0.0;2.8;16.6;27.2;0.0;16.8;0.0;0.0;24.6;0.2;6.0;0.0;3.8;2.4;20.4;0.0
17;0.0;42.4;0.0;0.0;0.0;0.0;0.0;0.3;21.5;3.8;3.4;45.7;0.0;0.0;8.7;0.2;0.5;13.0;0.0;0.0;5.0;0.8;81.4;0.0;0.3;53.9;0.0;0.0;0.0;0.0;7.4;0.1;0.0;27.0;17.0;26.8;4.8;22.7;71.6;0.0;0.0;0.0;6.0;0.0;10.0;0.0;5.4;60.4;0.2;0.0;0.0;0.0;0.0;0.0;38.3;0.0;2.4;22.0;7.5;13.7;8.6;0.0;6.4;16.0;0.0;0.0;0.0;0.0;10.4;0.1;0.0;35.0;0.0;0.2;0.1;59.8;0.0;0.2;0.0;1.9;12.1;31.4;0.0;0.1;17.0;0.0;13.8;0.0;2.1;0.1;9.2;0.0;4.9;0.6;0.0;3.8;10.2;39.8;6.8;2.2;0.0;0.0;0.0;0.0;2.8;41.2;63.5;12.4;10.7;0.0;0.0;0.0;0.0;0.0;0.0;1.6;18.2;59.7;0.0;36.3;12.4;30.7;2.2;0.0;0.4;0.0;10.7;0.0;2.6;13.1;1.9;0.0;2.8;0.0;8.0;0.6;4.1;0.2;0.0;0.0;0.0;18.9;0.0;0.0;42.2;0.0;0.0;0.0;3.6;0.0;51.0;0.0;0.0;0.6;0.0;0.0;2.7;0.0;156.2;0.3;10.0;0.0;0.0;26.4;4.7;16.4;27.4;0.0;5.8;10.1;1.9;0.1;0.4;0.2;0.0;0.6;0.2;0.2;0.0;0.0;0.0;26.8;35.0;0.0;0.0;0.0;0.2;0.0;0.0;29.0;3.6;0.0;0.2;5.4;5.2;0.0;1.0;0.2;0.0;6.8;0.0;0.4;1.2;0.0
18;0.0;1.7;81.0;0.0;14.9;0.0;0.0;3.3;0.8;0.0;13.2;0.8;0.0;2.7;8.3;0.0;1.8;7.6;1.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;7.6;1.6;7.9;0.0;1.8;0.0;0.0;13.0;1.6;0.0;10.4;4.7;0.0;0.0;0.0;0.0;0.0;0.0;2.5;0.0;0.0;24.1;0.0;0.0;0.0;0.2;1.8;0.2;38.4;0.0;5.2;19.3;12.5;6.2;9.4;0.0;0.7;0.0;0.0;0.0;0.0;0.0;24.6;15.2;1.4;19.4;0.0;3.8;0.0;2.0;0.0;0.0;0.0;5.7;19.5;34.0;6.1;0.0;1.7;0.0;32.0;0.0;5.1;3.6;0.7;0.4;0.0;1.7;4.7;3.2;0.6;0.0;0.0;0.4;6.2;0.0;0.0;0.0;0.0;91.2;65.7;4.2;0.0;0.0;100.0;0.0;0.0;0.0;15.2;7.8;4.0;3.8;0.0;13.2;2.4;19.3;0.0;0.0;1.2;0.0;1.7;0.0;10.8;6.2;0.0;0.0;64.3;15.4;2.0;5.2;0.4;0.0;1.2;0.3;0.0;0.1;1.0;1.0;14.2;0.0;0.0;0.1;0.2;0.0;0.1;0.0;0.0;0.0;0.0;0.4;0.9;0.0;1.1;0.9;7.0;0.0;3.7;0.2;11.4;12.8;6.1;1.4;0.0;1.8;0.0;0.0;0.0;33.8;0.9;0.2;2.8;0.0;0.0;0.0;0.0;14.8;0.2;6.6;1.0;10.4;0.0;0.0;0.2;14.8;0.0;0.0;0.4;0.0;0.0;0.0;1.8;2.0;0.0;13.2;17.0;0.6;8.0;0.0
19;111.4;19.8;7.2;4.0;30.4;0.0;0.0;0.9;0.2;1.8;0.0;0.0;0.0;0.7;8.6;0.0;0.1;0.1;0.0;0.0;0.0;52.3;0.0;0.0;10.1;0.4;0.0;0.0;6.9;3.9;0.0;0.0;3.6;0.0;0.0;0.0;0.0;4.3;0.0;18.9;0.0;14.7;0.0;0.0;0.0;0.0;0.3;0.0;0.0;3.2;10.0;9.6;20.0;0.0;58.6;0.0;0.1;20.0;3.2;2.2;26.2;10.0;0.0;0.0;0.0;0.0;2.2;2.1;0.0;10.0;18.1;0.1;6.4;2.2;0.0;2.4;0.0;0.0;0.0;22.7;0.2;72.2;13.9;0.1;0.0;4.6;0.0;0.0;52.6;0.1;0.0;2.0;0.0;5.1;7.6;59.6;3.5;0.0;0.0;2.8;0.1;0.0;0.0;0.0;0.0;19.6;6.2;3.4;0.0;0.0;4.7;0.0;2.6;0.0;4.6;0.6;0.0;8.6;0.2;3.7;45.2;0.0;0.0;0.0;4.2;0.0;0.0;0.0;0.0;0.0;0.0;0.4;16.7;0.0;115.6;10.2;0.1;0.2;1.6;13.3;0.0;0.6;2.4;0.0;35.4;0.0;0.0;0.0;0.0;26.6;0.0;0.0;1.8;3.8;0.6;12.4;14.1;6.6;0.5;0.4;0.0;0.6;4.2;0.0;10.1;0.0;0.0;1.4;0.0;0.1;0.2;2.1;0.0;12.2;0.0;0.0;8.4;1.8;0.0;0.6;0.0;0.0;29.8;1.2;2.8;37.2;0.0;0.0;1.6;0.0;11.8;18.6;0.2;0.0;0.0;0.0;0.2;2.2;0.0;4.0;7.0;6.2;2.6;18.6
20;0.0;0.0;26.4;0.0;3.1;18.5;0.0;0.0;0.0;2.2;0.0;0.0;8.1;1.1;2.4;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.8;0.0;0.1;2.4;68.4;0.0;12.7;0.1;0.0;0.0;26.4;0.0;0.0;16.3;0.0;0.5;0.0;10.6;0.0;0.0;0.0;0.0;0.0;1.8;16.9;0.0;0.0;5.0;10.0;7.3;18.8;0.0;37.4;0.0;1.1;2.6;5.0;12.5;32.0;0.0;0.0;5.0;0.0;107.4;18.4;0.1;3.8;0.0;0.2;9.6;27.2;0.1;0.0;0.0;0.0;0.0;0.0;0.0;27.3;14.7;24.5;17.5;3.4;8.4;0.0;0.0;0.0;0.0;0.0;4.8;0.8;0.2;1.0;10.3;45.8;3.8;0.0;3.2;0.1;0.0;0.0;0.0;8.6;0.0;1.5;4.4;79.2;0.0;0.0;43.5;3.8;0.0;0.0;43.2;16.8;0.0;0.6;0.0;50.0;0.0;1.8;0.0;0.0;0.0;0.0;0.0;3.2;0.0;0.0;0.0;23.4;0.0;60.0;0.0;0.1;0.2;0.2;49.5;0.9;0.0;0.0;0.0;0.0;0.0;0.0;11.5;0.0;16.8;0.0;0.0;1.6;3.8;0.0;11.8;29.9;0.0;6.0;0.0;1.4;3.7;6.8;0.0;1.0;0.0;1.7;5.7;0.0;0.0;3.1;33.3;0.0;4.9;0.0;0.0;17.6;10.0;0.2;0.0;0.0;0.0;2.0;0.2;0.2;0.2;0.0;24.2;0.0;0.0;28.0;7.8;4.6;0.0;0.0;0.0;25.8;12.6;0.0;31.0;4.0;18.4;0.0;9.8
21;0.0;0.0;1.2;2.5;0.1;2.8;0.0;0.0;0.2;8.2;11.4;0.0;21.6;0.0;1.5;0.0;0.0;0.0;16.0;39.4;0.0;25.4;0.0;0.5;0.2;6.8;7.2;15.8;50.0;19.6;0.0;0.0;1.4;8.4;19.4;7.3;68.1;1.8;65.9;2.8;0.0;0.0;0.0;0.0;0.2;12.9;1.8;8.8;13.3;28.0;15.5;4.8;13.8;0.0;8.6;0.0;0.2;1.6;0.0;84.7;56.9;0.0;32.7;23.9;60.0;37.6;1.6;0.1;5.6;38.9;0.0;2.5;0.0;2.6;69.7;0.0;1.0;0.0;0.0;0.0;0.0;0.7;15.5;0.1;41.6;0.0;0.0;0.9;0.1;0.0;0.0;9.3;0.9;0.1;0.0;5.2;21.8;32.1;0.0;13.4;0.0;10.0;0.0;0.0;1.8;0.0;0.0;0.0;46.8;0.0;2.5;5.6;0.0;0.0;0.0;6.2;26.5;9.3;14.0;0.0;36.4;0.0;1.0;0.0;1.0;14.6;0.0;0.0;0.4;0.0;0.0;20.4;0.0;0.0;0.6;0.0;0.0;0.2;0.8;25.9;7.7;0.1;0.0;0.0;3.6;0.0;0.0;39.7;0.0;14.4;0.0;0.0;4.6;10.4;0.0;0.0;9.1;0.0;0.9;0.3;3.2;0.0;0.0;0.0;2.8;0.0;20.0;5.6;11.0;0.1;9.9;0.1;0.0;1.5;0.0;0.0;14.6;1.2;0.2;0.0;154.0;0.0;1.4;20.4;0.0;0.0;8.4;2.0;0.2;12.2;2.4;11.6;0.2;5.6;0.0;0.0;8.4;15.8;0.2;15.6;4.2;19.6;0.0;28.2
22;0.0;8.2;2.2;5.4;0.0;0.0;12.1;0.0;9.7;0.8;1.5;0.0;0.4;0.0;0.0;8.7;0.0;0.0;22.6;9.8;8.1;6.3;0.0;5.1;5.8;8.4;3.3;2.7;14.3;33.4;0.0;0.0;0.0;69.6;63.7;17.0;2.2;2.5;3.3;0.6;0.0;0.0;0.0;0.0;0.0;18.6;0.0;1.4;0.5;117.0;15.9;0.0;0.0;0.0;0.1;10.0;0.0;0.0;0.0;42.1;34.9;0.0;3.5;0.1;2.6;0.0;0.2;0.0;0.0;1.2;0.0;0.1;0.1;0.2;10.0;9.4;25.0;0.0;0.0;0.0;0.0;0.0;0.0;57.5;8.3;0.0;0.0;56.8;11.2;0.0;2.2;0.0;0.0;28.4;0.0;0.0;8.9;12.6;32.1;0.9;0.0;0.2;0.0;97.4;0.2;5.5;10.0;0.0;21.6;0.0;11.3;0.6;0.0;0.0;0.0;4.4;3.9;15.3;2.4;0.0;2.8;1.2;0.0;0.0;2.2;50.5;0.0;0.0;1.0;0.3;16.5;6.4;0.0;7.2;0.4;0.0;0.0;1.8;15.6;11.9;2.6;0.0;1.0;0.0;1.9;0.0;40.8;61.6;0.0;0.0;0.0;0.0;4.4;24.4;0.0;134.2;8.7;199.8;0.5;0.0;10.2;0.0;19.9;0.0;27.9;6.5;57.3;4.2;0.0;0.0;99.3;0.0;8.5;0.0;0.0;0.0;0.0;0.0;0.2;126.2;128.8;0.0;25.4;20.0;0.0;0.0;2.2;0.2;0.0;18.2;0.2;0.0;5.2;0.2;0.0;0.0;17.6;4.0;0.4;2.4;0.0;15.2;1.0;0.0
23;0.0;0.0;0.5;0.2;0.0;0.4;17.8;0.0;0.1;0.6;0.0;0.0;0.0;0.0;0.0;0.4;9.4;0.0;3.8;1.0;0.5;1.3;0.0;23.6;0.0;2.8;0.0;0.0;15.6;11.5;0.0;0.0;33.6;2.2;0.0;0.0;1.7;0.0;0.4;0.0;9.8;0.0;0.0;0.0;0.0;16.4;2.0;40.8;0.4;19.8;0.2;0.0;0.2;0.0;0.0;10.0;5.9;0.1;0.0;24.1;0.0;0.4;10.1;0.9;1.1;0.0;0.8;0.0;0.2;4.4;11.2;0.1;7.5;0.0;10.0;0.0;43.6;0.0;0.0;0.0;13.2;0.0;0.0;8.0;0.3;0.0;0.0;0.0;16.7;0.0;32.0;0.0;0.0;37.9;0.0;0.0;3.1;11.5;0.0;0.0;0.0;8.1;0.0;53.6;6.0;50.4;0.0;0.0;17.0;30.0;1.0;19.6;0.0;0.0;28.5;5.4;8.5;0.8;0.0;0.0;20.8;0.0;0.0;23.7;3.7;0.3;18.5;0.0;2.2;1.4;24.2;7.0;0.0;0.5;0.3;0.6;0.0;0.0;2.8;3.9;4.8;0.0;10.4;0.0;2.2;2.6;0.4;0.4;0.0;0.2;0.0;0.0;0.0;28.3;0.0;38.9;1.9;0.2;29.8;0.0;38.5;1.2;4.4;9.2;17.4;0.7;85.8;10.2;0.7;0.0;7.5;8.0;56.0;0.0;0.0;0.0;0.0;0.0;28.6;79.0;44.0;0.0;13.4;0.4;0.0;36.4;0.0;0.8;0.0;0.8;26.8;54.0;0.2;0.0;3.4;0.0;4.0;0.8;0.0;0.2;0.0;1.8;0.4;0.2
24;0.0;0.1;1.6;0.0;0.0;0.0;0.0;0.0;16.3;3.4;4.5;20.6;25.0;0.0;9.0;0.0;3.1;1.1;17.2;0.0;0.0;0.0;0.0;0.8;7.8;5.1;111.5;0.0;4.6;10.7;0.0;0.0;4.5;0.0;0.7;0.0;24.9;0.1;9.4;0.0;0.0;0.0;0.0;2.7;0.7;0.0;0.5;11.8;0.9;2.2;0.0;65.9;16.3;0.0;0.0;23.1;1.8;5.7;0.0;0.0;0.4;0.0;45.1;0.1;147.3;0.0;37.5;3.1;1.8;2.3;2.0;12.5;28.9;0.0;0.0;0.0;8.6;0.0;0.0;0.0;19.5;0.0;0.2;6.9;0.0;0.0;0.0;0.0;0.0;10.0;43.0;0.0;22.5;103.6;0.0;0.0;3.8;21.1;21.0;0.0;0.0;9.6;0.0;0.0;13.6;2.5;0.0;10.5;6.0;17.4;5.8;1.6;0.0;2.1;48.0;1.6;6.3;0.0;22.8;0.0;10.0;140.0;0.0;8.3;0.5;0.0;4.9;0.0;4.3;5.5;10.2;0.0;0.0;47.7;0.6;22.3;0.0;0.2;0.0;0.2;13.0;0.0;0.0;4.4;41.6;0.4;2.5;0.0;10.4;0.0;0.0;0.0;0.0;3.5;3.4;0.5;4.3;10.0;7.1;0.0;9.9;30.0;28.1;3.1;12.8;7.8;6.9;1.0;0.0;0.0;0.0;22.5;25.5;0.0;8.6;0.0;0.0;0.0;1.0;5.6;0.2;62.8;0.6;0.8;0.0;18.0;8.0;17.4;0.0;8.4;0.6;7.0;0.0;22.0;0.8;0.0;5.6;0.2;0.0;0.0;10.4;6.8;0.4;0.0
25;48.0;0.0;27.8;0.0;0.0;0.0;0.0;0.0;20.3;6.8;77.0;0.3;2.6;5.5;0.7;0.0;3.2;0.1;4.9;0.0;11.2;0.0;0.0;1.3;10.6;0.1;0.6;0.0;0.0;10.8;0.0;0.0;0.5;30.8;12.9;34.0;7.4;0.0;28.4;0.0;0.0;0.0;0.0;14.0;19.5;0.0;0.0;6.8;6.4;0.8;0.0;56.3;2.2;6.4;0.0;0.1;2.2;16.7;0.0;0.0;63.1;7.5;4.8;57.0;2.5;0.0;0.4;0.1;26.7;0.1;28.6;9.7;2.6;0.0;95.8;0.0;0.0;0.0;0.0;0.0;6.5;0.0;36.3;2.7;0.0;19.3;0.0;0.0;0.5;18.1;2.8;0.0;0.2;5.2;0.0;0.0;0.1;3.0;46.9;0.0;0.0;7.6;1.8;0.0;4.6;1.5;0.0;57.9;0.0;24.2;0.0;0.1;8.6;7.8;22.7;28.3;0.2;4.6;0.0;1.9;1.8;97.6;0.0;0.0;0.0;0.0;0.0;0.0;20.8;15.6;19.8;0.0;0.0;0.0;0.1;13.5;0.0;0.0;0.0;0.7;19.6;20.0;0.0;87.2;10.4;3.6;0.0;0.0;0.0;0.4;4.0;0.0;35.8;0.4;62.0;0.0;3.8;37.2;0.5;0.0;1.6;36.2;0.7;2.2;4.9;49.0;59.2;0.0;0.0;4.6;8.6;1.7;13.9;0.0;2.8;0.0;0.6;0.2;49.6;1.2;0.0;4.0;0.0;12.8;2.4;2.4;19.6;0.0;9.6;12.2;7.2;0.2;1.2;0.0;10.4;0.0;0.0;0.6;0.0;0.0;9.4;13.0;0.0;0.0
26;49.9;0.3;5.1;0.0;0.0;0.6;1.1;0.0;0.0;0.0;8.8;1.1;0.0;0.0;18.1;0.0;0.3;8.6;6.9;0.0;3.4;0.0;0.0;19.2;24.0;0.0;0.0;0.0;0.0;2.1;0.0;2.7;0.0;0.0;5.5;5.8;3.3;0.0;0.1;0.0;0.0;0.0;1.2;1.3;2.2;0.1;1.6;6.8;17.3;0.0;0.0;2.6;0.0;0.4;0.0;9.9;0.0;0.9;0.0;13.2;18.5;2.1;1.8;23.0;1.2;0.0;0.0;2.7;39.0;9.3;3.4;5.1;29.4;0.0;14.2;2.2;0.0;16.4;0.0;0.0;0.7;5.7;12.9;7.8;5.4;60.0;0.0;40.0;0.0;0.1;0.0;0.0;0.3;0.7;9.6;0.0;0.2;13.6;0.0;0.0;0.2;0.0;0.0;0.7;0.1;0.1;1.7;60.6;7.0;15.8;4.5;2.7;2.5;62.8;20.8;0.3;0.0;24.4;3.3;0.7;49.6;1.2;18.9;0.4;5.7;0.0;15.8;0.0;23.5;9.6;0.0;11.9;0.0;0.0;0.0;0.5;73.0;35.1;0.0;8.6;0.0;0.0;0.0;15.2;44.6;16.9;40.5;39.6;0.0;0.0;0.0;0.0;4.0;1.2;10.6;0.0;30.0;6.9;16.6;0.0;0.0;8.5;8.0;0.5;0.0;0.5;6.4;0.0;0.0;0.0;45.0;0.1;0.0;0.0;5.6;3.8;14.4;20.6;6.0;0.0;0.0;3.6;0.0;3.2;1.2;0.0;0.0;0.0;3.2;2.2;0.8;0.0;0.6;0.0;0.0;0.4;1.6;0.0;0.0;0.0;0.0;9.2;0.0;0.0
27;18.5;0.2;0.3;0.0;0.4;0.0;2.3;27.4;0.0;2.5;0.0;10.1;5.2;0.0;1.0;0.0;6.0;4.4;38.7;0.0;28.6;0.0;0.0;0.2;0.0;1.4;11.6;88.9;0.0;0.5;1.8;0.0;0.0;0.0;0.0;0.0;32.2;0.0;3.7;0.0;0.0;0.0;28.1;16.2;0.0;103.1;6.1;0.0;12.1;45.2;0.0;0.0;0.4;0.0;0.0;6.0;0.7;4.7;28.0;10.6;15.1;0.1;0.5;0.2;0.0;0.0;0.0;0.0;8.2;2.8;0.0;0.0;17.7;0.0;6.8;0.0;0.0;1.0;0.0;0.4;0.0;0.2;19.7;8.9;0.0;0.2;0.0;55.2;0.0;5.8;1.7;6.0;0.0;25.1;3.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.0;5.5;1.6;1.5;29.0;0.0;0.0;1.8;1.0;7.2;8.0;0.0;0.0;125.6;4.9;48.2;35.3;0.2;44.1;19.4;18.2;0.0;34.2;0.0;35.4;0.1;0.0;16.1;0.0;224.6;0.0;1.2;24.6;0.9;0.0;0.1;0.0;0.0;20.2;3.2;69.2;0.1;14.1;9.1;0.0;0.0;5.5;10.0;0.2;0.0;18.1;51.7;3.2;0.1;10.7;0.0;0.2;8.0;0.0;6.3;0.0;0.4;0.0;0.0;0.0;26.6;3.8;3.6;9.1;0.0;41.3;2.0;9.2;0.0;8.0;0.0;9.6;0.0;0.0;0.0;0.0;0.0;0.0;8.4;26.0;2.2;0.0;0.2;14.2;0.0;0.0;10.4;5.8;0.0;0.0;0.2;0.0;2.8;0.0;0.0
